N_dim,N,Stat_Text_Time_Sec,Spatial_Time_Sec,total_time_sec
"(128, 128)",50,28.333134412765503,24.406179189682007,52.73931360244751
"(128, 128)",100,56.49026608467102,54.13855266571045,110.62881875038147
"(128, 128)",500,281.95561718940735,257.81655955314636,539.7721767425537
"(128, 128)",1000,564.6289896965027,504.341445684433,1068.9704353809357
"(256, 256)",50,99.46931004524231,48.67466974258423,148.14397978782654
"(256, 256)",100,201.2084105014801,97.34420824050903,298.55261874198914
"(256, 256)",500,998.705968618393,486.8694977760315,1485.5754663944244
"(256, 256)",1000,2003.627347946167,962.4173176288605,2966.0446655750275
"(512, 512)",50,406.9428012371063,131.59001803398132,538.5328192710876
"(512, 512)",100,810.6945378780365,253.90219569206238,1064.5967335700989
"(512, 512)",500,4057.2371802330017,1270.6057043075562,5327.842884540558
"(512, 512)",1000,8117.786948919296,2527.2223222255707,10645.009271144867
